text,Label
amun ada penggeledahan pulisi jangan mau diegeledah pakai tangan bubuhannya lebih baik telanjang sorangan sebarataan baju dibuka berataan kantong dibuka jangan sampai dijapai buhannya sebarataan barang nang kita bisi,0
makanya kadang banyak urang nang di sel tahanan itu kada bisi salah indonesia oh indonesia,0
sama kek sales mungkin sasah target biar dapat bonus bulanan,0
rata rata ae,0
salam dari binjai pa,0
salut lawan pak kapolda sumut nang bapihak wan kebenaran mudahan tetap berjuang demi keadilan,0
sasah setoran kah itu,0
kada heran,0
kada wani komen kalo ngalih memperpanjang sim,0
biasa cari kepala kawan,0
kaitu banar mencari duit,0
untung ada cctv,0
menyupani,0
kalau kadada cctv bakalan kada bakal dicabut pang,0
kada wani komen macam macam kalo pina diambili wkwk ,0
nang kawannya wajib mati sih wkw,1
raja manusia untung ada cctv terimakasih cctv,0
satu hari satu oknum,0
rancak ai bisa sudah nang kaya ini,0
handak tekajut,0
handak naik pangkat eh timbul gagal rekayasa,0
nang baju biru pemadahan banar bayaran oknum mencari target supaya naik pangkat biar bangga walau  fitnah sagan mehalalkan cara gila jabatan urang lain nang jadi korban terperdaya dunia kasihan urang kada salah hancur,0
kadada lagi kah sasaran,0
iya bebungulan handak mencari pangkat kaitu dasar buhan warik nih,1
kalau bujuran dijabak sampai atasan dicabut narkoba nya ampun siapa,0
loh maka buhan kam biasa dah wan kelicikan bubuhannya,1
sudah ditutungakan beritanya itihi ja di youtube,0
loco biasanya lancar haja lo pak kasiannya ai apes,0
hanya polisi tidur nang gawiannya bujur,1
dibanua kita gin kaini jua barang bukti nya dijual nya lg kasian nang ampun anak jadi jantungan,0
kaitu banar supaya naik pangkat,0
nyari tambahan,0
dicabut tu sama lah lawan dipecat,0
oo kaini kalinya kelakuan bubuhannya,0
nyari tumbal ini mah,0
untung ada cctv ulun rancak mendangar kasus dijebak kaini,0
makanya masyarakat banyak nang kada percaya lawan pulisi gara gara kaya ini,0
oknum polisinya pang dicabut jua lah kalo atasannya haja sama ai jua bohong,0
oknum tarus kontol oknum,1
copot jabatan kah ah tahi copot jua dari kepolisian,1
bayangkan kalo kadada cctv,0
kaya apa kah lah mun kadada cctv berita kaini nang meulah papol nang jujur jadi ada diketujui urang karana dapat nya nang kaini,0
Mun handak naik pangkat bang usaha,0
asu,0
Kena amun ada oknom nang handak kakas takuni duli di tangan bapa ada apa amun kosong tangan sidin silahkan kakas ja zaman wahini nang salah dibujurakan nang banar disalahakan kita ja lagi nang harus hati hati harus bisa jaga diri,0
untung ada cctv kalo kadada kaya apa sakit hati orang tuha wan keluarganya,0
misa kada viral mungkin kasihan banar korbannya mengejar dunia tapi mengorbankan urang lain kada bungas bos ai,0
sekali penjahat tetap penjahat luar biasa kelakuan,0
di banjar gin ada jua nang kaya itu tapi kada ketahuan banar ai sekedar membari tips haja mun ada nang kena razia baik nya kita periksa dulu tangan polisi nya sebelum inya menggeledah isi kantong selawar atawa baju kita,0
untung ada cctv,0
jadi takutan,0
owh kaitu kah cara mainnya,0
cctv nya naik pangkat,0
biasa dah itu demi naik pangkat wan lencana hanyar lain rahasia umum,0
paling mutasi salam dari binjai,0
tag urang nya,0
kisah basi,0
tag akun ig kasat narkobanya pank min ,0
rancak dah pina nya makanya menggawi lagi,0
viral kan pencabutan jabatannya nya biar kami percaya,0
Wkwk kelihatan dah masa nang membari dibiarakan bukah mbah tu nang dibari malah di tangkap,0
Lain rahasia lagi dah ini dasar bujur ada haja kejadian kaya ini beberapa oknum handak naik jabatan lewat jalur curang,0
pantas ja inya santai bekendraan bejauhnya,0
rancak banar sudah mandangar kaini ni kada sakali dua kali mudahan haja pang nang ketuju menjebak urang ni lakas ketahuan kami ni apa da rakyat biasa kada kawa berkata apalagi bukti kadada biar sorang bujur tatap disalah akan nya,0
mudahan lakas waras haja utak polisi nya,0
nang babaju biru itu siapa,0
hapuk,0
ah rancak dah kejadian,0
oh ini kah gawiannya,0
Bubuhannya meninggal jua kena mempertanggungjawabkan kelakuanya,0
kahandakan lakas dapat duit lakas naik pangkat manjabak urang babungulan,1
rancak banar dah kejadian intinya amunya ada urang nang nitip barang atawa kada dibari bukti kalo inya nang bawa barangnya,0
zaman bahela ngayau cari kepala ,0
contoh nang baik kada pakai helem,0
gila bayangkan kalo kadada cctv kayak apa,0
di kira cupu sekalinya pemadahan,0
nang mambari narkoba tangkap jua itu,0
pasang cctv nya kaka,0
ini nang ketahuan nang kada ketahuan pang kayaapa,0
kada tapi harat ni permainan skenarionya,0
nampak banar oknum polisi nya kada baduit pasti pemakai jua oknum nya tu,0
si baju biru itu siapa pemadahan atau ganti kepala eemm,0
hanyar dibinjai ketahuan,0
ini nang terakam cctv apakabar lawan nang kada terekam,0
kaini banar nyari duit,0
polisi jua penjahat nya ,0
ini nang bujur penjahat ,0
inilah nang ngarannya fitnah di akhir zaman di mana mana dah,0
lah nerima beapa dipalar,0
dasarnya wal ai kaya itu,0
biasa dah dasar kaitu,0
najis kaitu sifat,1
kapolres nya dicabut jua,0
adilakan pang masukakan penjara wan ulah miskin jua jangan cabut haja,0
jahat banar ay,0
dapat sabunya dari mana asal sabu dari siapa panjangi pang episodenya lain pemecatan atau sanksi wara itu barang dapat dari mana asal dari mana eh tumbuhnya dimana nang nanam siapa one piece haja baluman tuntung masa kasusnya tuntung ,0
kasihan masyarakat kalo kaini,0
astagfirullah ai,0
miris banar rancak dah kejadian,0
adu di sini ada jua nang kaitu,0
fitnah urang nauzubillah,0
kadida lalu niatan minta maaf eh malah ciek wan sampai dibari tembakan peringatan lagi sampai pelanggan ulun waktu itu nukar kelapa peras disasahi padahal nang bebawa nya santen peras wara sama takutan pelanggan ulun muka nya pucat jadi sampai wahini pelanggan kada suah lagi dah nukar ka ulun lagi karana takutan kejadian itu,
ini nang ketahuan nang kada ketahuan bisa hibak,0
pulisi bungul,1
masya allah kenapa tega banar menjebak untung ada cctv,0
banyak dah kaya ini cuma kada ketahuan banar ai,
awalnya tu dari laporan masyarakat jar harau pemadahan main jabak kada harapan kawa nangkap mun kada batipu,0
untung ada cctv,0
untung ada cctv cuba kalo kadada bisa bisa sudah bertahun di penjara keluarganya timbul miskin karana bayar duid tarus miris meitihi penegak hukum nang malah mempermainkan hukum,0
tau sorang lo kaya apa kelakuan pulisi tu,1
mudahan nang menjabak dapat azab,0
Dua puluh persen haja percaya lawan buhanya ni sisa nya pulisi tidur wan patungnya,0
wow ulun kabuliangan,0
Jangan dicabut wara pecat ja sebarataan nang terlibat wan bertanggung jawab urang nang kada bisa begawian beapa jua masih dibari  gawian,0
haha handak pakai jalan pintas handak naik pangkat malah dipecat,0
penegak hukum di negara ini lagi garing banar,1
salam dari binjai slebew ,0
oh pulisi toh nang bisi bahan hem kaitu lalu cari kepala pak,0
aduh main jebakan jebakan supaya ikam disambat ih ikam harat,0
ini nang hanyar keliatan,0
ah biasa ja ada jua nang betukar kepala,0
lagu lawas dah,0
bearti itu rasa sudah lawas viralnya alhamdulillah mun sudah teungkap,0
dicabut sagan dipindah tugaskan,0
dicabut apa dipecat,0
sudah lain rahasia umum lagi cara kaitu,0
loco lalu model kaya kanakan main tangkap tangkapan,0
innalillahi wainnailaihirojiun mudahan ja syarat sagan naik pangkat lakas dibaiki supaya kada kejadian hal nang berdosa banar kaini,0
kada kawa disambat sebuting sebuting sudah banyak,0
biasa dah kaini demi naik pangkat urang kada salah jadi target ini lah hukum indonesia,1
lagu lawas sudah tu bahasanya tumbal,0
oknum wal ai itu bepaham paham sepalih jangan tapi nampak,0
anggota dimana dapat sabu xixixi,0
biasa dah ni rancak oknum pulisi kada bertanggung jawab menjabak masyarakat ini cuman ke betulan yang ke liatan,0
demi pangkat melejit,0
mudahan dijauhkan dari segala marabahaya urang nang berniat jahat naudzubillahi mun dzalik,0
kepoinnya haja langsung,0
cabut jabatan hanyar dimasukkan ka dalam sel penjara,0
kebanyakan nya sdh terjadi babuhan nya jua pelaku nya,0
ini hanyar sebiji nang lain pang nang kada bukti cctv kaya apa miris ulun,0
mudahan anak cucu ikam dapat balasan percaya ja karma itu ada,1
banyak nang mahirip tagal kada ketaahuan banar ai,0
pangkat oh pangkat,0
niat naik pangkat eh malah cabut jabatan,0
hanyar ja kelihatan sebelumnya heh bantas duit urang kada bekenyamanan hidup,0
ini jangan dicabut wara jabatanya bahaya nang kaini bayangkan urang nang kada tahu apa apa ujung ujungnya ditangkap gara gara olah drama urang kaini jangan sudah banyak diluar sana kejadian tnp terekam cctv,0
jangan rancak kejadian kasus kaya ini,0
kasar cara main nya untung ada cctv ,0
demi naik jabatan masyarakat nang dikorbankan,0
oknum oknum penghuni neraka,1
ni nang dicabut kasat nya mun kita salah komen harau kita jadi target mbah ni,1
kebanyakan nonton sinetron ya kaya itu pang jadinya,0
thr wan bonus,0
siapa nang cita citanya bisi laki abdi negara kayak di video ini,0
ini versi halusnya dari cara manusia mencari musuh tuh amerika handak disambat apa,0
menyangka kadada nang melihat tapi allah beisi handak lain,0
ini pang indonesia rancak banar digibahi urang luar karana ini salah satu indonesia kada maju,0
mun ada begal diam ja gin kada boleh melawan,0
mudahan apa nang disampaikan bapak wakapolres tadi dapat di wujudkannya pas sidin dibegal mudahan ya kawan,0
handak komen takutan kalo pina jadi tersangka,0
begal dapat izin tuh kada sekalian keluarga polisinya tu ja nang kena begal,1
orang mambila diri malah ditangkap pakai utak lah itu hak pian hak pian kalo di begal jangan handak harus dirabuti masa ada begal malah pasrah bukah itu hak pian harus dipertahankanya amun begalnya handak membunuh mbah tu kadada pilihan lain selain dilawan dengan membunuh kaya apa pang sudah,0
kada bisi akal sihat,1
nang betakun siapa gerang ini,0
rip akal sehat,0
bungul lo,1
bungul,1
bahagialah ikam bubuahan begal,0
ya kalo begal beda karana inya penjahat,0
berarti amun tetamu begal kaya apa pak polisi kada usah dilawani kaya itu kah,0
mun kaitu baik jadi begal ja,1
ular tadung amun kada diganggu inya kada meigut kaitu jua manusia amun terasa terancam apa boleh buat dari pada mati konyol lebih baik melawan ya kalo wahini buhan begal bayar pajak makanya dilindungi hukum,1
kadang diri sorang harus mati di begal daripadanya melawan begal sampai mati kita jadi tersangka dah lah baik manyarah ja gin,0
handak heran tapi bubuhannya pulisi,0
harusnya kaini nang dihukum pulisinya karana kada begawi melindungi rakyatnya masa kita kada dibolehi melawan jelas ampat lawan satu ha pulang untung itu urang kawa manang malah begal nya nang dibebasi ampun dah hukum apa kaini ulun setuju pembunuhan itu kriminal tapi kada tahan urang nang bertahan sagan hidupnya lah sedihnya am,0
Oke begal dilundungi oleh hukum,0
tapi kalau polisi menembak penjahat sampai mati kada papa biasanya alasannya melawan petugas tapi jar polisi tadi bila membunuh siapa haja urangnya melanggar hukum berarti polisi lain urang bisa lah,0
haha beda lagi kalo penjabat nang jadi korban,0
wow jawaban polisinya pinter banar sampe tapuntal,0
harusnya si pak polici nih paham pang antara mambila diri wan main hakim sorangan secara lho inya korban disasah wan si begal suruh badiam wan nunggu bantua katu lah kalo dasar dijadikan tersangka karana sagan proses penyelidikan harusnya bahasanya kada kaitu masa iya pembelaan diri pas darurat disamakan lawan main hakim sorang,0
miris nya heh hukum negara kaini,1
begal dibela malah begal nang jadi saksi nang ada begal kena malah menjadi jadi dimana mana harus nya buhan begal lainnya di tangkap jua karana sudah ketahuan jadi begal,0
sandat ya pak masih pusing kalo masih pusing kada usah bepandir,1
mehedangi kabar berita nang hanyar admin,0
mbah tu apa kabar oknum polisi nang menembakkan pistol ka tersangka kejahatan lalu urangnya nya meninggal apa pulisi itu dipenjara ja lah,0
di indonesia haja aneh nyata nyata begal handak membunuh sorang masa beranai ja lah aneh jua maka pas membela diri begal kalah masa sorang ditangkap aneh jua harus ada uud hanyar mun kaitu,0
aparat juga di bekali senjatadlm kondisi darurat aparat boleh melakukan tindakan tegas dan terukur alias membunuhbgtpun warga yg memiliki senjata tajamdlm kondisi darurat warga juga berhak membela diri dgn melumpuhkan penjahat dgn cara membunuh nya krn nyawanya terancamharus nya penegak hukum melihat kasus ini dgn kacamata sprti itukrn kondisi darurat,0
negara indonesia nih loco tapi bungul,1
tu polisi tahulah membedakan main hakim sorang wan bela diri kada si,0
berarti rugi dua wara kada ke ampat nya sama ja ya ditangkap jua,0
cabut ja bungul,1
indonesia nih senggol dong,0
mantap wkwkland,0
handak tetawa tapi ini indonesia ,0
tambuk,1
peraturan di negara kita sebagai bahan lelucon aneh,0
jadi kalo dibegal kita harus pasrah ketu mbah tu lapor pulisi,0
beda banar wan anggota kopastrad menembak maling sampai mati malah di beri penghargaan,0
negeri dongeng,0
warga prindavan kita sudah kada bungul lagi pak polisi kita sudah pintar haha kada kawa membunguli rakyat lagi,1
lah kontol haha begal ja kada mikirakan matiin korbannya haha nang penting barang dapat,1
pulisi nang bepander bungul,1
ya kaini salah satu tanda akhir zman nang bujur jadi salah wan sebaliknya,0
kaya ini taggapan lesti,0
liwar tahi,1
wah bebanyak begal ini mah,0
jangan tapi dikarasi begal sudah beisi undang undang,1
ingati lah mun ada begal jangan dilawan bediri bediam haja ingati tu bengek,0
konoha,0
pasrah di begal,0
amun tetamu begal barii nang terbaik,0
mudahan lakas tuntung permasalahannya ini,0
nang tepatnya pas saat menjadi korban begal adalah bukah unjuki motor ke begalnya sagan menyelamatkan sorang tinggal lapor polisi polisi kada lawas kena mendapatakan motornya tu nang di begal dan akan mengantarkan motornya tu ke rumah korban dengan karinyum,0
kada bujur,0
Ujar pak polisi keluar berjalan harus dikawani jangan soranga nah takunannya adalah mana yo fungsi atawa tugas negara dalam hal ini aparat negara dalam mambarii rasa aman dan keamanan ka warga negara indonesia dalam tiap gawiannya handak bejalan sorangan di tengah malam tanpa rasa takutan harusnya kawa dijamin negara negara secara sistematis wan terstruktur menjamin rasa aman dan jawaban pak polisi kurang pas menurutku,0
amunnya polisi dibegal kaya apa cuba hayu,0
dan begal boleh membunuh korban kaitu lo maksud pulisi tu jaka pulisi nya nang kena begal hanyar tahu rasa,1
main hakim di larang kalo main curang pang,0
ini sama ae menjulung harta kebegal mun polisi bepander kaya itu jaka tebulik hartanya dapat begalnya masih mending mun kada dapat kayapa,0
sebarataan urang pasti dalam keadaan kaya itu pasti dah mambila diri,0
mun polisi nembak mati begal alasan ada perlawanan kada papa tu jer polisi mun masyarakat biasa jadi tersangka,0
peraturan kada jalas diumpati,0
ngaran musibah jua biar lawan kawan bajalan tatamu begal mau kada mau antara harus kabur atau dilawan begalnya,0
harat,0
amun nya begal kawa membunuh kada dihukum nang dihukum tuh cuma kasus begal nya ja pang amun ada korban meninggal,0
harusnya negoisasi baik baik beimbai wan begal,0
luput lalu kaini hukum,0
pamer skin badahulu harau di epiccombeck urang haha kena mental hukum,1
aneh,0
intinya kalau ada begal kita biarakan haja begal nya bunuh kita mbah tu amunnya kita sudah mati hanyar dah kita jadi hantu mbah tu kita belas dendam dah tu wan begalnya nah kamun kaini kan nyaman soalnya kadada pasal uu sagan mempidanakan hantu mungkin pikran bubuhannya kaitu ,0
bujur jar pulisinya main hakim sorangan kada bulih soranganja nang mati dua jakah basaruan bisa mati ka ampatnya,0
pembelaan atas apa pak pol nih aneh hukum negara segitu nya banar,0
wakanda oh wakanda,0
pasrah ja wan minta dibunuh oleh begal biar begal nya di tangkap pak pulisi wkwk ,0
mas kapolri kami rakyat harus apa keluarga pian baluman suah kena begal kah,0
amun pak polisi dibegal boleh lah membela diri nang pasti mambila diri apa lagi baisi tembakan pas membela diri begalnya mati kira kira polisi jadi tersangka kada yo ulun handak tetawa dulu,0
dasar nya indonesia ni,0
kada jelas banar jawabannya,0
dasar bungul hukum wadah kita ni membela diri dari begal malah jadi tarsangka kahandaknya tu korban begal tu harus mati dibunuh hanyar kawa buhan begal tu dijadikan tersangka dasar bungul,1
Jadi amun ada begal pasrah haja kah,0
rasa handak pindah ke benua eropa atau new zealand apa ke benua australia indonesia lagi garing banar soalnya,0
begalnya dibawai ngopi siapa tau kada jadi membegal ketimbang jadi tersangka,0
jaya hidup begal kaini kesah nya amun korban membela diri salah satu begal meninggal wan begal lainnya jadi saksi wara himung banar begala ada haja jar nang melawankan aku hukum dunia,0
Aku sambat dah hukum di negeri ini gila wan aparatnya jua,1
kada boleh membunuh begal tapi begal boleh membunuh zaman apa ini lah,0
amun polisi menembak penjahat mbah tu mati penjahat nya bisa bisa disambat peluru nyasar kalo lah,0
aturanya jadi kaya membantui bubuhan pelaku kejahatan siapa nang begawian jahat wan terbunuh korban kena ditangkap sebagai pelaku kanapa hibak penjahat alasannya karana hukum kurang adil handak salah handak bujur kah polisi tugasnya haja sama kaya kita jua mencari duid gesan anak bini semakin banyak penjahat semakin hibak lowongan jadi calon polisi jadi percaya haja lawan allah ja walaupun salah di mata uud,0
bukah di sasahi sorang mati sekali sorang melawan sorang jadi tersangka iya polisi iq jungkuk,1
biarkan malaikat nang menghukum buhannya nang menghukum urang lain demi kebenaran,0
lalu kaya apa polisi nang membunuh perampok begal gara gara bubuhan perampok melawan balik jadi tersangka jua lah,0
pak polisi tulung begal itu kan sudah becagaran kejahatan jakanya kada berhasil karana korban mambila diri wan meninggal karana korban mambila diri lain kadada sebab korban melakukannya,0
mudahan di kalimantan selatan kadada lagi begal aamiin,0
giliran bubuhan polisi nang beroprasi melawan sedikit langsung tembak bahkan tersangka ada nang sampai meninggal kadada ai tindak pidanannya,0
amun keluar malam jangan sorangan bawai kawan biar melawan begalnya nya kada sorangan dan nyaman nang jadi tersangka kada sorangan jua mungkin kaya itumaksudnya pak polisi,0
ayo jadi begal,0
bila bejalanan jangan sorangan bawa kawan jar emangnya kalo bawa kawan nyata selamat kalo ada begal ya kecuali kawannya itu kawan nya si begal jua,0
kada masuk di akal ulun nah hukum sorang imbah mati mambila diri lah wan harta,0
ini pang bukti pas handak masuk polisi dengan jalur menapal,1
himung begal dibela negara banar kaya apa kada merajalela,0
salut wan nang wawancara bapaknya,0
lah amunnya pelindungan surang disarang pang kaya apa cuba,0
jadi kalo ada begal kendaraannya langsung dijulung haja kah aksudnya kaitu pak asa kada ngerti nah kalo ada begal harus kaya apa melawan salah kada melawan nyawa wan kendraan melayang,0
mungkin begalnya keluarga sidin,1
aneh,0
maaf pak emangnya si begal kada main hakim sorangan malahan kada sorangan ampat urang malahan,0
pecat polisinya,0
wow,0
hukum tambuk,1
intinya kita harus pasrah kaya itu kah pak,0
admin instagram pulisi nya ada kah,0
haha kalo kaitu bila polisi nembak tersangka wan meulah hilang nyawa urang berarti tersangka jua tu haha,0
Misalnya bapak kada sengaja kada memakai seragam mbah tu bawa tembakan lalu bapak di begal nah bapak menembak begal itu lah pak atawa kaya  apa,0
hanya ada dinegara wakanda kaya ini,0
kalau se andai nya nang meolah nyawa si begal kadida lagi adalah oknum berseragam mungkin lah min malah kena dapat penghargaan,0
misalnya bapak polisinya nang dibegal kaya apa tuh bealih posisi kisahnya,0
lah mbah tu begal itu kada main hakim kah,0
tolol,1
mati dah keadilan ,0
dunia kemos kaya ini pang begal maka dibela bingung ulun kaya ini,0
jadi pahlawan pembila masyarakat sudah meringanakan tugas aparat tapi malah dianggap seorang kriminal,0
menyalahi hati nurani,0
amun kaya itu ayo kita jadi begal urang nang korupsi ja,0
rancak biasanya berita terduga kejahatan tewas ditembak kira kira kaya itu kaya apa jua,0
bearti bila ada begal kita baranai haja gin,0
dunia tabalik,0
sudah bebas berakat demo masa dari bubuhan msyarakat jawa di sana,0
Bingung kayaapa kita mempertahankan diri mambila diri,0
mun kada melawan sawat sorang yang dibacok begal ,0
handak heran tapi ini hukum indonesia,
